Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bermuda,BMU,63429.2767665396,61503.6383589572,61913.7772348381,63435.4731513697,63374.766845423,65690.9641699689,66969.933143424,69624.4363363497,71810.384072276,73825.1848453623,79988.3500115683,84844.7383808264,83048.803111906,85321.2432651983,86733.3700723903,87616.3859691804,91944.8738136662,94029.6080297516,94903.19153445,89391.2111759902,88207.3275597322,86001.1711723395,81547.8552352009,79251.7816637313,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Canada,CAN,36489.2663535682,35231.0212060472,35108.5190377961,35648.4779876294,36893.9818855308,37569.4682404423,37765.7324508268,38967.9531013894,40131.7018339628,41856.0455923901,43638.2831548145,43964.9545940366,44883.828395515,45239.8113906795,46170.9201965306,47181.5623940446,48035.0357919049,48552.6964313308,48510.5677732731,46543.7921999113,47447.4760241936,48456.9645742468,48724.2458003308,49359.4224695765,50221.8419821739
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,United States,USA,36312.4141825874,35803.8684213439,36566.1737698527,37078.04968394,38104.9724675631,38677.7150883663,39681.5198579033,40965.8466450522,42292.8912011426,43768.8849928326,45055.817918284,45047.4871976844,45428.6456781274,46304.0360895612,47614.2798621765,48755.6160606735,49575.401013591,49979.5338429195,49364.6445500336,47575.608562749,48373.8788155779,48783.4685866408,49497.5858531423,49976.6287666224,50881.1068630546
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/02/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
